TestParameter ,Measurement.Type ,reservoirComputing
TestParameter ,MainFrame
TestParameter ,Channel.Type ,SMU ,SMU ,SMU ,SMU
TestParameter ,Channel.Unit ,SMU1:MP ,SMU2:MP ,SMU3:MP ,SMU4:MP
TestParameter ,Channel.IName ,I1 ,I2 ,I3 ,I4
TestParameter ,Channel.VName ,V1 ,V2 ,V3 ,V4
TestParameter ,Channel.Mode ,V ,V ,V ,V
TestParameter ,Channel.Func ,VAR1 ,VAR1 ,VAR1 ,VAR1
TestParameter ,Channel.Index , , , ,
TestParameter ,Channel.Time , , , ,
TestParameter ,Measurement.Port.SeriesResistance ,ON ,ON ,ON ,ON
TestParameter ,Measurement.Port.Filter ,0 ,0 ,0 ,0
TestParameter ,Measurement.Adc.HighSpeed.Mode ,AUTO
TestParameter ,Measurement.Adc.HighSpeed.Coeff ,  1
TestParameter ,Measurement.Adc.HighResolution.AutoZero ,  ON
TestParameter ,Measurement.Adc.HighResolution.Mode ,AUTO
TestParameter ,Measurement.Adc.HighResolution.Coeff ,  6
Measurement ,Device ,CMORCA
Measurement ,Time ,2019-02-06_16-27-08
DataName ,  Ignd ,  Ivlow ,  Ivhigh ,  Vout
Dimension ,  56 ,  56 ,  56 ,  56
DataValue ,  -0.0005418 ,  0.0005403 ,  1.0975e-06 ,  0.0377
DataValue ,  -0.0005428 ,  0.00054195 ,  1.1e-06 ,  0.0384
DataValue ,  -0.0005387 ,  0.00053785 ,  1.0965e-06 ,  1.1583
DataValue ,  -0.0005413 ,  0.00053915 ,  1.1e-06 ,  1.1587
DataValue ,  -0.00054155 ,  0.00054055 ,  1.099e-06 ,  1.1594
DataValue ,  -0.00053695 ,  0.0005359 ,  1.1015e-06 ,  1.1579
DataValue ,  -0.00053935 ,  0.0005393 ,  1.103e-06 ,  1.1557
DataValue ,  -0.0005387 ,  0.0005379 ,  1.101e-06 ,  1.1597
DataValue ,  -0.0005453 ,  0.00054375 ,  1.103e-06 ,  0.0355
DataValue ,  -0.00053875 ,  0.00053785 ,  1.1035e-06 ,  1.1587
DataValue ,  -0.0005403 ,  0.0005389 ,  1.111e-06 ,  1.1607
DataValue ,  -0.000543 ,  0.0005416 ,  1.1025e-06 ,  0.0368
DataValue ,  -0.0005426 ,  0.00054175 ,  1.1075e-06 ,  1.1596
